Open Shifts Report for New York Market (1/6/2020 - 1/31/2020),,,,,,
Date,Location,Shift Name,Start,End,Hours,Comments
1/14/2020,NY Eltingville Staff: 152S,Scribe,2:00 PM,8:00 PM,6,
1/14/2020,NY Glen Cove Staff: 160S,RT,11:00 AM,8:00 PM,9,
1/14/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/14/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/14/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,12:00 PM,4,
1/14/2020,NY Levittown Staff: 120S,RT,8:00 AM,8:00 PM,12,
1/14/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/14/2020,NY Mineola Staff: 138S,Scribe,8:00 AM,8:00 PM,12,
1/14/2020,NY Plainview Staff: 105S,Scribe,8:00 AM,8:00 PM,12,
1/14/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,3:00 PM,7,
1/14/2020,NY Port Jefferson Staff: 601S,Scribe,5:00 PM,8:00 PM,3,
1/14/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/14/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/15/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/15/2020,NY Glen Cove Staff: 160S,MA,2:00 PM,8:00 PM,6,
1/15/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/15/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/15/2020,NY Greenvale Staff: 141S,RT,2:00 PM,8:00 PM,6,
1/15/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/15/2020,NY Levittown Staff: 120S,MA,8:00 AM,4:00 PM,8,
1/15/2020,NY New Rochelle Staff: 121S,MA,2:00 PM,8:00 PM,6,
1/15/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/15/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/15/2020,NY Tarrytown Staff: 123S,MA,2:00 PM,8:00 PM,6,
1/15/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/15/2020,NY West Islip Staff: 114S,RT,8:00 AM,2:00 PM,6,
1/16/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/16/2020,NY Bay Shore Staff: 106S,Scribe,8:00 AM,8:00 PM,12,
1/16/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/16/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/16/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/16/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/16/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/16/2020,NY Park Slope Staff: 145S,RT,8:00 AM,8:00 PM,12,
1/16/2020,NY Port Jefferson Staff: 601S,Scribe,4:30 PM,8:00 PM,3.5,
1/16/2020,NY Sayville Staff: 157S,Scribe,3:00 PM,8:00 PM,5,
1/16/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/16/2020,NY Smithtown Staff: 135S,MA,2:00 PM,8:00 PM,6,
1/16/2020,NY Smithtown Staff: 135S,UN RT,2:00 PM,8:00 PM,6,
1/16/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/17/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Bay Shore Staff: 106S,UN RT,2:00 PM,8:00 PM,6,
1/17/2020,NY Glen Cove Staff: 160S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY GoFollow Staff: 100GFS,CCrep2,9:00 AM,5:00 PM,8,
1/17/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/17/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/17/2020,NY Greenvale Staff: 141S,RT,8:00 AM,4:00 PM,8,
1/17/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Levittown Staff: 120S,Scribe,3:00 PM,8:00 PM,5,
1/17/2020,NY Oceanside Staff: 151S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Port Washington Staff: 143S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Roslyn Staff: 119S,RT,4:00 PM,8:00 PM,4,
1/17/2020,NY Sayville Staff: 157S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/17/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/17/2020,NY W. 69th Staff: 118S,RT,8:00 AM,2:00 PM,6,
1/17/2020,NY Yorktown Heights Staff: 122S,MA,3:00 PM,8:00 PM,5,
1/18/2020,NY Bay Shore Staff: 106S,MA,8:00 AM,4:00 PM,8,
1/18/2020,NY Commack Staff: 133S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY Dongan Hills Staff: 111S,RT,8:00 AM,8:00 PM,12,
1/18/2020,NY E. 81st Staff: 124S,RT,9:00 AM,5:00 PM,8,
1/18/2020,NY East Northport PEDS: 104,UN RT,10:00 AM,4:00 PM,6,
1/18/2020,NY East Northport PEDS: 104,UN RT,4:00 PM,10:00 PM,6,
1/18/2020,NY Glen Cove Staff: 160S,RT,9:00 AM,5:00 PM,8,
1/18/2020,NY GoFollow Staff: 100GFS,CCrep2,9:00 AM,5:00 PM,8,
1/18/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/18/2020,NY GoFollow Staff: 100GFS,CCrep4,9:00 AM,5:00 PM,8,
1/18/2020,NY Great Neck Staff: 144S,UN RT,9:00 AM,5:00 PM,8,
1/18/2020,NY Huntington Staff: 161S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY Lake Grove Staff: 142S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY Lynbrook Staff: 130S,UN RT,8:00 AM,9:00 PM,13,
1/18/2020,NY Lynbrook Staff: 130S,MA,9:00 PM,5:00 PM,20,
1/18/2020,NY New Rochelle Westchester: 121P,Pro flx,9:00 AM,1:00 PM,4,
1/18/2020,NY Port Jefferson Staff: 601S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY Ridgewood Queens: 113P,Day dbl,11:00 AM,5:00 PM,6,
1/18/2020,NY Roslyn Staff: 119S,RT,8:00 AM,3:00 PM,7,
1/18/2020,NY Roslyn Staff: 119S,Scribe,8:00 AM,8:00 PM,12,
1/18/2020,NY Smithtown Staff: 135S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY Syosset Staff: 107S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY Training: Staff: 100TRNS,Train,9:00 AM,5:00 PM,8,
1/18/2020,NY West Islip Staff: 114S,Scribe,9:00 AM,5:00 PM,8,
1/18/2020,NY West Islip Staff: 114S,UN RT,9:00 AM,5:00 PM,8,
1/19/2020,NY Commack Staff: 133S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Dongan Hills Staff: 111S,RT,8:00 AM,8:00 PM,12,
1/19/2020,NY Dongan Hills Staff: 111S,Scribe,8:00 AM,8:00 PM,12,
1/19/2020,NY Eltingville Staff: 152S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Forest Hills Staff: 101S,RT,8:00 AM,8:00 PM,12,
1/19/2020,NY Glen Cove Staff: 160S,RT,9:00 AM,5:00 PM,8,
1/19/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/19/2020,NY GoFollow Staff: 100GFS,CCrep4,9:00 AM,5:00 PM,8,
1/19/2020,NY Great Kills Staff: 109S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Great Neck Staff: 144S,RT,9:00 AM,5:00 PM,8,
1/19/2020,NY Greenvale Staff: 141S,MA,9:00 AM,5:00 PM,8,
1/19/2020,NY Huntington Staff: 161S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Lake Grove Staff: 142S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Levittown Staff: 120S,MA,8:00 AM,2:00 PM,6,
1/19/2020,NY Massapequa Staff: 102S,UN RT,8:00 AM,4:00 PM,8,
1/19/2020,NY New Dorp Staff: 110S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Oceanside Staff: 151S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Oceanside Staff: 151S,UN RT,9:00 AM,5:00 PM,8,
1/19/2020,NY Port Jefferson Staff: 601S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Port Jefferson Staff: 601S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Port Washington Staff: 143S,RT,9:00 AM,5:00 PM,8,
1/19/2020,NY Roslyn Staff: 119S,Scribe,8:00 AM,2:00 PM,6,
1/19/2020,NY Smithtown Staff: 135S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Syosset Staff: 107S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Training: Staff: 100TRNS,Train,9:00 AM,5:00 PM,8,
1/19/2020,NY West Hempstead Staff: 600S,MA,9:00 AM,5:00 PM,8,
1/19/2020,NY West Hempstead Staff: 600S,RT,9:00 AM,5:00 PM,8,
1/19/2020,NY West Islip Staff: 114S,Scribe,9:00 AM,5:00 PM,8,
1/19/2020,NY Yorktown Heights Staff: 122S,Scribe,9:00 AM,2:45 PM,5.75,
1/20/2020,NY Bridgehampton Staff: 148S,MA,8:00 AM,8:00 PM,12,
1/20/2020,NY Dobbs Ferry Staff: 136S,RT,8:00 AM,8:00 PM,12,
1/20/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/20/2020,NY Eltingville Staff: 152S,Scribe,2:00 PM,8:00 PM,6,
1/20/2020,NY Glen Cove Staff: 160S,RT,8:00 AM,8:00 PM,12,
1/20/2020,NY GoFollow Staff: 100GFS,CCrep1,9:00 AM,5:00 PM,8,
1/20/2020,NY GoFollow Staff: 100GFS,CCrep2,9:00 AM,5:00 PM,8,
1/20/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/20/2020,NY Great Kills Staff: 109S,Scribe,8:00 AM,8:00 AM,0,
1/20/2020,NY Great Kills Staff: 109S,Scribe,2:00 PM,8:00 AM,18,
1/20/2020,NY Greenvale Staff: 141S,MA,8:00 AM,8:00 PM,12,
1/20/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/20/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/20/2020,NY Massapequa Staff: 102S,Scribe,4:00 PM,8:00 PM,4,
1/20/2020,NY Oceanside Staff: 151S,Scribe,8:00 AM,8:00 PM,12,
1/20/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/20/2020,NY Port Washington Staff: 143S,RT,8:00 AM,8:00 PM,12,
1/20/2020,NY Ridgewood Staff: 113S,Scribe,2:00 PM,8:00 PM,6,
1/20/2020,NY Riverhead Staff: 147S,Scribe,8:00 AM,8:00 PM,12,
1/20/2020,NY Roslyn Staff: 119S,UN RT,8:00 AM,2:00 PM,6,
1/20/2020,NY Roslyn Staff: 119S,RT,2:00 PM,8:00 PM,6,
1/20/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/20/2020,NY Syosset Staff: 107S,Scribe,8:00 AM,8:00 PM,12,
1/20/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/20/2020,NY West Islip Staff: 114S,RT,8:00 AM,8:00 PM,12,
1/20/2020,NY Yorktown Heights Staff: 122S,Scribe,4:30 PM,8:00 PM,3.5,
1/21/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,2:00 PM,6,
1/21/2020,NY Bay Shore Staff: 106S,MA,8:00 AM,8:00 PM,12,
1/21/2020,NY E. 81st Staff: 124S,Scribe,2:00 PM,8:00 PM,6,
1/21/2020,NY Eltingville Staff: 152S,Scribe,2:00 PM,8:00 PM,6,
1/21/2020,NY Forest Hills Staff: 101S,RT,8:00 AM,8:00 PM,12,
1/21/2020,NY Glen Cove Staff: 160S,RT,2:00 PM,8:00 PM,6,
1/21/2020,NY Glen Cove Staff: 160S,MA,2:00 PM,8:00 PM,6,
1/21/2020,NY GoFollow Staff: 100GFS,CCrep2,9:00 AM,5:00 PM,8,
1/21/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/21/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/21/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/21/2020,NY Lake Grove Staff: 142S,MA,2:00 PM,8:00 PM,6,
1/21/2020,NY Levittown Staff: 120S,MA,8:00 AM,8:00 PM,12,
1/21/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/21/2020,NY Port Washington Staff: 143S,RT,8:00 AM,2:00 PM,6,
1/21/2020,NY Roslyn Staff: 119S,MA,8:00 AM,2:00 PM,6,
1/21/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/21/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/21/2020,NY W. 69th Staff: 118S,RT,8:00 AM,2:00 PM,6,
1/21/2020,NY West Islip Staff: 114S,Scribe,8:00 AM,8:00 PM,12,
1/22/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/22/2020,NY Dongan Hills Staff: 111S,Scribe,2:00 PM,8:00 PM,6,
1/22/2020,NY E. 81st Staff: 124S,RT,8:00 AM,2:00 PM,6,
1/22/2020,NY E. 81st Staff: 124S,RT,2:00 PM,8:00 PM,6,
1/22/2020,NY Eltingville Staff: 152S,MA PM,3:30 PM,8:00 PM,4.5,
1/22/2020,NY Glen Cove Staff: 160S,MA,2:00 PM,8:00 PM,6,
1/22/2020,NY GoFollow Staff: 100GFS,CCrep1,9:00 AM,5:00 PM,8,
1/22/2020,NY GoFollow Staff: 100GFS,CCrep3,9:00 AM,5:00 PM,8,
1/22/2020,NY Great Neck Staff: 144S,RT,2:00 PM,8:00 PM,6,
1/22/2020,NY Huntington Staff: 161S,Scribe,8:00 AM,8:00 PM,12,
1/22/2020,NY Levittown Staff: 120S,MA,4:00 PM,8:00 PM,4,
1/22/2020,NY New Rochelle Staff: 121S,MA,2:00 PM,8:00 PM,6,
1/22/2020,NY Port Jefferson Staff: 601S,Scribe,8:00 AM,8:00 PM,12,
1/22/2020,NY Roslyn Staff: 119S,Scribe,2:00 PM,8:00 PM,6,
1/22/2020,NY Smithtown Staff: 135S,Scribe,8:00 AM,8:00 PM,12,
1/22/2020,NY Training: Staff: 100TRNS,Train,8:00 AM,8:00 PM,12,
1/22/2020,NY W. 100th Staff: 129S,RT,2:00 PM,8:00 PM,6,
1/22/2020,NY W. 69th Staff: 118S,MA,8:00 AM,8:00 PM,12,
1/23/2020,NY Amityville Staff: 134S,RT,8:00 AM,2:00 PM,6,
1/23/2020,NY Amityville Staff: 134S,Scribe,8:00 AM,8:00 PM,12,
1/23/2020,NY Amityville Staff: 134S,UN RT,2:00 PM,8:00 PM,6,
1/23/2020,NY Dongan Hills Staff: 111S,MA,8:00 AM,8:00 PM,12,
1/23/2020,NY E. 81st Staff: 124S,RT,8:00 AM,8:00 PM,12,
1/23/2020,NY GoFollow Staff: 100GFS,CCrep4,10:00 AM,6:00 PM,8,
1/23/2020,NY Great Kills Staff: 109S,RT,8:00 AM,8:00 PM,12,
